"hypervisorId__hypervisorId","name","guestIds__guestId","guestIds__state","guestIds__attributes__active","guestIds__attributes__virtWhoType","facts__hypervisor.type","facts__dmi.system.uuid","facts__cpu.cpu_socket(s)","facts__hypervisor.cluster","facts__hypervisor.version"
"","","6d030042-bdb4-432f-5921-3ac7ff4696a4","1","1","esx","","","","",""
"","","7a040042-571d-6f0c-2f80-cd79606fee53","1","1","esx","","","","",""
"","","7d420042-fbc7-e4a1-a29d-be9fc4a15419","1","1","esx","","","","",""
"","","7e760042-138d-f99f-e8f2-93af954f6ce7","1","1","esx","","","","",""
"","","86740042-f762-266d-3e75-1f1afdf65157","1","1","esx","","","","",""
"","","86d00042-8527-406e-c0c4-02750f2a38be","1","1","esx","","","","",""
"","","94270042-1119-df8d-ac65-fe83b01f1680","5","0","esx","","","","",""
"","","9e000042-0e40-e713-c17d-5f7d3ad61c74","5","0","esx","","","","",""
"","","a4010042-0f78-78c0-ce5a-3e6132230335","1","1","esx","","","","",""
"","","af640042-6d91-f656-e5b3-4d1115e8ae07","1","1","esx","","","","",""
"","","b1d20042-9a06-21df-2e26-5f55dec69ea7","5","0","esx","","","","",""
"","","b2fe0042-7e7c-c1d9-285a-d4f6b7fdc0a7","5","0","esx","","","","",""
"","","cd960042-f4f4-59dc-e758-0f7014f24948","1","1","esx","","","","",""
"","","d1ed0042-5078-fa91-b9b5-b2c1948305bd","5","0","esx","","","","",""
"","","d7260042-6611-4626-511a-ad2c299e4ff7","1","1","esx","","","","",""
"","","de9a0042-4de1-83c0-4d8b-0e2db709edf8","1","1","esx","","","","",""
"","","e0e00042-1b98-5494-8959-4789b84447aa","5","0","esx","","","","",""
"","","e28c0042-fb99-63b7-2570-641ba432a1a3","1","1","esx","","","","",""
"","","e7e50042-24a1-140a-bc8b-830bacc85011","1","1","esx","","","","",""
"","","ead80042-f897-8f62-989c-abf9c1223986","1","1","esx","","","","",""
"","","eb4b0042-e79c-00a7-9211-9c9438e0db54","1","1","esx","","","","",""
"","","f31d0042-4d83-29d0-a560-170c91be2959","1","1","esx","","","","",""
"","","f4810042-872d-2eb5-ada5-2e91d38db218","1","1","esx","","","","",""
"astron-6.example.com","astron-6.example.com","0b280042-9cbd-6a7a-b998-d58553a6b20a","1","1","esx","VMware ESXi","4c4c4544-0050-4c10-8034-c7c04f463133","2","sysmgmt","6.7.0"
"","","145a0042-d727-9cca-cd11-2f0603566ee3","5","0","esx","","","","",""
"","","188e0042-6e23-dc67-68dd-ea7180d19121","1","1","esx","","","","",""
"","","28330042-5450-8ad3-057c-89146eb48b39","1","1","esx","","","","",""
"","","2cec0042-7cd8-7a16-1d96-dcb060d2d298","1","1","esx","","","","",""
"","","2fef0042-f7b6-86fe-f263-9ebff51c10cc","5","0","esx","","","","",""
"","","42008361-7eec-ec46-764a-51b659584db1","1","1","esx","","","","",""
